filename,v,w
00000.png,0.0,0.0
00001.png,0.0,0.0
00002.png,0.0,0.0
00003.png,0.0,0.0
00004.png,0.0,0.0
00005.png,0.0,0.0
00006.png,0.0,0.0
00007.png,0.0,0.0
00008.png,0.0,0.0
00009.png,0.0,0.0
00010.png,0.0,0.0
00011.png,0.0,0.0
00012.png,0.0,0.0
00013.png,0.0,0.0
00014.png,0.0,0.0
00015.png,0.0,0.0
00016.png,0.0,0.0
00017.png,0.0,0.0
00018.png,0.0,0.0
00019.png,0.0,0.0
00020.png,0.0,0.0
00021.png,0.0,0.0
00022.png,0.0,0.0
00023.png,0.0,0.0
00024.png,0.0,0.0
00025.png,0.0,0.0
00026.png,0.0,0.0
00027.png,0.0,0.0
00028.png,0.0,0.0
00029.png,0.0,0.0
00030.png,0.0,0.0
00031.png,0.0,0.0
00032.png,0.0,0.0
00033.png,0.0,0.0
00034.png,0.0,0.0
00035.png,0.0,0.0
00036.png,0.0,0.0
00037.png,0.0,0.0
00038.png,0.0,0.0
00039.png,0.0,0.0
00040.png,0.0,0.0
00041.png,0.0,0.0
00042.png,0.0,0.0
00043.png,0.0,0.0
00044.png,0.0,0.0
00045.png,0.0,0.0
00046.png,0.0,0.0
00047.png,0.0,0.0
00048.png,0.0,0.0
00049.png,0.0,0.0
00050.png,0.0,0.0
00051.png,0.0,0.0
00052.png,0.0,0.0
00053.png,0.0,0.0
00054.png,0.0,0.0
00055.png,0.0,0.0
00056.png,0.0,0.0
00057.png,0.0,0.0
00058.png,0.0,0.0
00059.png,0.0,0.0
00060.png,0.0,0.0
00061.png,0.0,0.0
00062.png,0.0,0.0
00063.png,0.0,0.0
00064.png,0.0,0.0
00065.png,0.0,0.0
00066.png,0.0,0.0
00067.png,0.0,0.0
00068.png,0.0,0.0
00069.png,0.0,0.0
00070.png,0.0,0.0
00071.png,0.0,0.0
00072.png,0.0,0.0
00073.png,0.0,0.0
00074.png,0.0,0.0
00075.png,0.0,0.0
00076.png,0.0,0.0
00077.png,0.0,0.0
00078.png,0.0,0.0
00079.png,0.0,0.0
00080.png,0.0,0.0
00081.png,0.0,0.0
00082.png,0.0,0.0
00083.png,0.0,0.0
00084.png,0.0,0.0
00085.png,0.0,0.0
00086.png,0.0,0.0
00087.png,0.0,0.0
00088.png,0.0,0.0
00089.png,0.0,0.0
00090.png,0.0,0.0
00091.png,0.0,0.0
00092.png,0.0,0.0
00093.png,0.0,0.0
00094.png,0.0,0.0
00095.png,0.0,0.0
00096.png,0.0,0.0
00097.png,0.0,0.0
00098.png,0.0,0.0
00099.png,0.0,0.0
00100.png,0.0,0.0
00101.png,0.0,0.0
00102.png,0.0,0.0
00103.png,0.0,0.0
00104.png,0.0,0.0
00105.png,0.0,0.0
00106.png,0.0,0.0
00107.png,0.0,0.0
00108.png,0.0,0.0
00109.png,0.0,0.0
00110.png,0.0,0.0
00111.png,0.0,0.0
00112.png,0.0,0.0
00113.png,0.0,0.0
00114.png,0.0,0.0
00115.png,0.0,0.0
00116.png,0.0,0.0
00117.png,0.0,0.0
00118.png,0.0,0.0
00119.png,0.0,0.0
00120.png,0.0,0.0
00121.png,0.0,0.0
00122.png,0.0,0.0
00123.png,0.0,0.0
00124.png,0.0,0.0
00125.png,0.0,0.0
00126.png,0.0,0.0
00127.png,0.0,0.0
00128.png,0.0,0.0
00129.png,0.0,0.0
00130.png,0.0,0.0
00131.png,0.0,0.0
00132.png,0.0,0.0
00133.png,0.0,0.0
00134.png,0.0,0.0
00135.png,0.0,0.0
00136.png,0.0,0.0
00137.png,0.0,0.0
00138.png,0.0,0.0
00139.png,0.0,0.0
00140.png,0.0,0.0
00141.png,0.0,0.0
00142.png,0.0,0.0
00143.png,0.0,0.0
00144.png,0.0,0.0
00145.png,0.0,0.0
00146.png,0.0,0.0
00147.png,0.0,0.0
00148.png,0.0,0.0
00149.png,0.0,0.0
00150.png,0.0,0.0
00151.png,0.0,0.0
00152.png,0.0,0.0
00153.png,0.0,0.0
00154.png,0.0,0.0
00155.png,0.0,0.0
00156.png,0.0,0.0
00157.png,0.0,0.0
00158.png,0.0,0.0
00159.png,0.0,0.0
00160.png,0.0,0.0
00161.png,0.0,0.0
00162.png,0.0,0.0
00163.png,0.0,0.0
00164.png,0.0,0.0
00165.png,0.0,0.0
00166.png,0.0,0.0
00167.png,0.0,0.0
00168.png,0.0,0.0
00169.png,0.0,0.0
00170.png,0.0,0.0
00171.png,0.0,0.0
00172.png,0.0,0.0
00173.png,0.0,0.0
00174.png,0.0,0.0
00175.png,0.0,0.0
00176.png,0.0,0.0
00177.png,0.0,0.0
00178.png,0.0,0.0
00179.png,0.0,0.0
00180.png,0.0,0.0
00181.png,0.0,0.0
00182.png,0.0,0.0
00183.png,0.0,0.0
00184.png,0.0,0.0
00185.png,0.0,0.0
00186.png,0.0,0.0
00187.png,0.0,0.0
00188.png,0.0,0.0
00189.png,0.0,0.0
00190.png,0.0,0.0
00191.png,0.0,0.0
00192.png,0.0,0.0
00193.png,0.0,0.0
00194.png,0.0,0.0
00195.png,0.0,0.0
00196.png,0.0,0.0
00197.png,0.0,0.0
00198.png,0.0,0.0
00199.png,0.0,0.0
00200.png,0.0,0.0
00201.png,0.0,0.0
00202.png,0.0,0.0
00203.png,0.0,0.0
00204.png,0.0,0.0
00205.png,0.0,0.0
00206.png,0.0,0.0
00207.png,0.0,0.0
00208.png,0.0,0.0
00209.png,0.0,0.0
00210.png,0.0,0.0
00211.png,0.0,0.0
00212.png,0.0,0.0
00213.png,0.0,0.0
00214.png,0.0,0.0
00215.png,0.0,0.0
00216.png,0.0,0.0
00217.png,0.0,0.0
00218.png,0.0,0.0
00219.png,0.0,0.0
00220.png,0.0,0.0
00221.png,0.0,0.0
00222.png,0.0,0.05
00223.png,0.0,0.05
00224.png,0.0,0.05
00225.png,0.0,0.1
00226.png,0.0,0.1
00227.png,0.0,0.1
00228.png,0.0,0.1
00229.png,0.0,0.15000000000000002
00230.png,0.0,0.15000000000000002
